usuario,op,co,ex,ag,ne,wordcount,cluster
LeoDiCaprio,0.4492518223584871,0.3371141301612557,0.5892915327601349,0.2774806690514301,0.4066462761494351,0.997680550370848,0
lorenzo99,0.2098643707272427,0.4355773936393173,0.5881235658428707,0.4107363973417423,0.3666714615132509,0.3079259095862415,1
manuginobili,0.2027787967577433,0.2639953033984094,0.5493718628211672,0.9706243629340332,0.2638180368358387,0.2092053068781273,3
MariahCarey,0.5972527036401869,0.3252098409129357,0.5731973425008525,0.062578473754201,0.2339312685686825,0.4725785530329596,2
maria_patino,0.1732551639729123,0.2967378305385217,0.670067385661655,0.7193200652347876,0.3015339863185204,0.2389372480703461,3
martinvars,0.3910914772707641,0.4647536740781828,0.4736818202351095,0.1546770349510763,0.4109823368222995,0.5647815069965272,2
MeganFox516,0.5593400503468884,0.5903996129530072,0.3563172155357494,0.2938675699536439,0.2926201471842143,0.8297695538889078,0
MelanieGriffith,0.5035538485961495,0.3411217063534143,0.4293085835211343,0.4213495354775783,0.220541314502906,0.6162119206796304,2
MileyCyrus,0.4229302501335072,0.3693457815005714,0.516647807550561,0.4458159059559627,0.4152894628256822,0.4061445383347851,1
NadalMiki,0.0638900438394933,0.2385258221308372,0.8749571068768986,0.8504821902564929,0.2542993585262213,0.3875766865382367,3
OfficialAdele,0.840945977489405,0.402999374872966,0.1646587312018472,0.1752543715821923,0.0,0.650146303020705,2
Oprah,0.5857445006755022,0.428106238904689,0.4455561606097468,0.3320095032873331,0.2011436253807425,0.6323212784169109,2
pabloalboran,0.1395037161255548,0.0725451534681962,0.6297413828524077,0.4675818409059104,0.3046662950188487,0.3344042111137506,3
Pablo_Iglesias_,0.2285740666303481,0.3486958882263959,0.644154979582217,0.5086027744767374,0.2636015497304391,0.3428995901253002,1
paugasol,0.2661873605661088,0.4364108724192089,0.5638340113814049,0.3327424978283686,0.4532044688899793,0.3636652865917806,1
PaulaMeliveo,0.5009565774404938,0.3453602978688076,0.4727128501791652,0.3399079782679876,0.490628849286061,0.1728058317590676,1
paulocoelho,0.3754841194611802,0.4761875325579516,0.6279782730923518,0.3594595189968711,0.3525593608470955,0.3571184149500571,1
perezreverte,0.1773517993618529,0.2673719610195086,0.6001752387998804,0.7681779273110231,0.4012842548466334,0.3096590159236509,3
pnique,0.0365048292931817,0.4053262086896174,0.70492857240454,0.6263845998633445,0.3129248336114881,0.3621221290860209,3
porliniers,0.2750582690176215,0.2017540603641387,0.7696994614952866,0.679585341093923,0.2186683175696759,0.1631255114007006,3
RafaelNadal,0.1630029457958967,0.5311310558568151,0.8273227285632727,0.1725626005185826,0.2438322418411966,0.4245804157569862,1
RealHughJackman,0.3310760687580167,0.3283450249391486,0.5892852844775007,0.2618087623445044,0.373866084510413,0.4001331055832702,1
Rep_Hunter,0.223035318645433,0.8110235783289964,0.2928623071547797,0.1254983785780922,0.6611177175217159,0.547879360339061,0
rihanna,0.8152273470675837,0.4624991626801384,0.2000490040407667,0.0,0.2248543668843753,0.381899431756051,2
ristomejide,0.3484254743967607,0.296671802228483,0.6524449675821105,0.7860448850610783,0.2677092705417306,0.3318632330705158,3
sanchezcastejon,0.1295713968708454,0.4406979740413252,0.5437349880147242,0.4777845519753909,0.3294658341906609,0.4651611218575959,1
SarahPalinUSA,0.363319418258099,0.4038002104434003,0.3886349136236922,0.4288548803493359,0.4569468894990637,0.4817300332198354,1
SerranoIsmael,0.2034574182189394,0.2863941451675593,0.6763774703752388,0.8005447870183425,0.363178820309994,0.2875278560197282,3
shakira,0.606423475340429,0.2501307463446246,0.7568149435191718,0.3608639616036958,0.2572902621023503,0.1400606327982715,1
SJP,0.3884649564311682,0.5591710462773254,0.3965028872657617,0.310152095887682,0.3394985822229835,0.5068513553768246,2
springsteen,0.5790251116334943,0.5389134219519887,0.3410684397979913,0.0554874245843862,0.2597876639738395,0.4488698280185367,2
SSantiagosegura,0.3220927205862876,0.28837824921688,0.1285969260102683,0.2470318213181451,0.4181702926441141,0.036997130500032,1
stevewoz,0.2423601457195738,0.4943722173548579,0.2055855902640767,0.4690248419798244,0.3352542932578429,0.2682068076152984,1
taylorswift13,0.5741848528196216,0.3713819854523765,0.576639805858808,0.2174864438692788,0.131612786666207,0.4498143874692217,2
TheEllenShow,0.4505166372394211,0.2856478505607273,0.6642370815297798,0.1706356043577718,0.2016937327113715,0.6980435741677131,2
thelittleidiot,0.3307721743797531,0.3782046316167144,0.4284402181093124,0.3933322690855381,0.4442612593230969,0.6859151291652056,0
TheReal_Jlh,0.5072633035912757,0.2129212209508042,0.6170594356580299,0.2583407383601148,0.3194754423311338,0.6636897018510349,2
TomCruise,0.6804889539372427,0.1612542956991829,0.6554711056800488,0.1124416695279116,0.1335392953074546,0.5759036473946373,2
tomhanks,0.2477537970360831,0.4698051628777687,0.4451690102102773,0.2551238239947294,0.4581788353438207,0.5169950000565605,1
usainbolt,0.2588674771924451,0.545091675845176,0.6143265049085973,0.3093769939659196,0.2996141448526203,0.4737385135160613,1
victoriabeckham,0.6704594556669812,0.3005987755398113,0.3569056967853826,0.2678635287321487,0.2057211859606368,0.4949147445541717,2
XabiAlonso,0.1331454251094835,0.3417721055494723,0.4913859279241878,0.7135671483395066,0.4867913015934244,0.2004181702318601,3
XaviRodriguez,0.0465487964390921,0.1810267710933466,0.7254713940249204,0.9844390048372972,0.4677642289832221,0.2005147943273643,3
xoellopez,1.0,0.1109610177616632,0.2158372715748215,0.3129298721556616,0.0963786823125371,0.3265691753109881,2
ZacEfron,0.5162950733070504,0.4345313510864049,0.4320748708611267,0.4380888658845394,0.2725588780215867,0.5353912851664574,2
_josecoronado_,0.1496904284476427,0.2612555712732768,0.6450588410743721,0.9630440112929632,0.3582779670902123,0.5124296293782499,3
